Index;Season;Episode;Episode_name;Character_name;Type_Dialogue;Dialogue
16;1;1;Lonely Rolling Bocchi;Interviewer;Talk;I see! Now, here's "Trigger" by Instorms!
17;1;1;Lonely Rolling Bocchi;Naoki Gotou;Talk;What is it?
18;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;D-Dad, can I use your guitar?
19;1;1;Lonely Rolling Bocchi;Naoki Gotou;Talk;Sure!
20;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Th-Thanks!
21;1;1;Lonely Rolling Bocchi;Naoki Gotou;Talk;Aha! At last, Hitori's getting into guitar too!
22;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Maybe even someone like me can shine if I'm in a band! I've made up my mind. I'm gonna learn to play guitar! Then I'll form a band at school, and... E, A, G... What's with all the English? Then I'll play at the culture festival and have everyone go crazy for me! Crazy... for me?
23;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I practiced six hours every day, so I could learn how to play in front of people... The result? Middle school ended, and I never played a single note for them! I never performed once... At the culture festival! I never put together... The members for a band! And I never made a single friend... In three whole years! Now, in high school... I gotta form a band or die trying! But despite my vow, it's been a whole month since high school started, and yet my heart remains grounded in the guitar, little better than a shut-in... Lyrics and music by me. From the closet with love. But before I cause neighborhood problems playing my crummy original song late at night, I've gotta upload a cover I did of a popular band. It's been a pretty long time since I started uploading myself playing under the name "guitarhero" on my dad's advice, but... Wow, my latest video already has so many comments. I've been racking up the views lately, too, and people are telling me I'm good... Yeah, maybe it's okay if I can't handle real life! There are tons of people cheering for me online! The internet is filled with socially anxious introverts just like me! I put the effort in, okay? I brought CDs to school and set them on my desk. Talk to me! I bought band merch and showed it off. Talk to me!
24;1;1;Lonely Rolling Bocchi;Speaker Voice;Talk;This next song is a request from Goto-san in Class 2-A.
25;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I put in song requests at lunch... ...for the death metal song I'd been obsessed with lately.
26;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Not the flashbacks! Begone! Begone, filthy memories! I wish I could perform live... That... That could work!
27;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I look... I look so cool! I'm already a total rocker chick! I look like a real somebody! The people can't look away! Someone's just gotta talk to me now! I'm gonna be all over this year's culture festival!
28;1;1;Lonely Rolling Bocchi;Students;Talk;So you could see the corgi's butt... Do we move rooms next period? Science Room B. Hey, wanna karaoke after this? Great idea! You sure? Wonder what I should sing...
29;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Huh?
30;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Did I go overboard hyping myself up last night? But I'm putting out such powerful rocker chick vibes... D-Did I end up making myself unapproachable?! No, no, no! I'm having a mental breakdown!
31;1;1;Lonely Rolling Bocchi;Kita's Friends;Talk;Wow, look at that!
32;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Thump
33;1;1;Lonely Rolling Bocchi;Kita's Friends;Talk;At what?
34;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I-If they're laughing at me now, it won't just be a mental breakdown, it'll be mental annihilation!
35;1;1;Lonely Rolling Bocchi;Kita's Friends;Talk;Aw, it's so cute, I've gotta laugh!
36;1;1;Lonely Rolling Bocchi;Ikuyo Kita;Talk;Guitar?
37;1;1;Lonely Rolling Bocchi;Kita's Friends;Talk;My day's immediately better! Right, Kita-chan? Kita-chan?
38;1;1;Lonely Rolling Bocchi;Ikuyo Kita;Talk;Sorry, sorry! What was it?
39;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Look, I know. You can't put the onus on others and expect perfect results. This is a gathering place for people just as lonely as me. I bet that guy's separated from—
40;1;1;Lonely Rolling Bocchi;Salaryman's Daughter;Talk;Papa!
41;1;1;Lonely Rolling Bocchi;Salaryman's Wife;Talk;Sorry we're late!
42;1;1;Lonely Rolling Bocchi;Salaryman;Talk;Hey, no problem. Now, let's grab dinner! What would you like?
43;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;They're the perfect freakin' family! Please forgive my presumptuous empathizing... Ah. I broke 30,000 subscribers. Hey, that's right. The online world is where I belong. Sorta makes me not wanna go back to school...
44;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Guitar! That's a guitar, right? Do you play?! Hello?
45;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I-I haven't talked to anyone in so long... my voice!
46;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Hey, sorry to ambush you. I'm Nijika Ijichi, second-year at Shimo-Kitazawa High.
47;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Hitori Goto. Shuka High. First-year.
48;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;So tell me, Hitori-chan...
49;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Right to first names, are we?!
50;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;How good are you at guitar?
51;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Pretty decent, I guess...
52;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Really?! Say, I'm in kind of a fix here... If you can't do it, that's okay, but... It's really okay, but I'm in a real fix...
53;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;There's nothing okay about her!
54;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Okay, I'll come right out with it! Please, will you play second guitar for my band for today?!
55;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Band?
56;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;We've got a concert coming up, and our guitarist just split! The song's not too hard! You'll pick it up right away!
57;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;A concert?! Right now?!
58;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Please! Please!
59;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Um, err...
60;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Thanks! Let's head to the club!
61;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I haven't even said anything yet!
62;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I got dragged along.
63;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Do you come to Shimo-Kita a lot, Hitori-chan?
64;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Oh, well...
65;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Oh, well... Right, like I've got the courage to visit a fashion town for trendy people...
66;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;We're almost to the club.
67;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Nijika-chan's fashionable, too. She's got the real rocker-chick vibe. Meanwhile, I'm in a potato-quality tracksuit with a real bear of a set of bags under my eyes, and a back as arched as a cat... Wait, do I also smell like mold? I spend so much time in the closet... No, I smell like mothballs. Meanwhile, Nijika-chan smells great! She smells just the way a high school girl should!
68;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Oh, am I walking too fast?
69;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;N-No...
70;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;The club we're gonna play at is called Starry. My big sister's the manager there.
71;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Playing at a club... That sounds weirdly legit. Wait, what's my heart doing?
72;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;And so... I've been working there part-time... Hitori-chan, are you actually pretty athletic?
73;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;N-No, but I'm always the last one standing in dodgeball for some reason.
74;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;I... I see.
75;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Me? Playing in a club? No, don't back down now! Remember your daydreams of performing at the culture festival! And your first solo show at Zepp Super Arena!
76;1;1;Lonely Rolling Bocchi;Crowd;Imagination;Hitori! Hitori! Hitori!
77;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I'm the girl who sold out the Budokan...
78;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;What?
79;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Oh, nothing!
80;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Oh, nothing! Please, don't let her think she made a mistake choosing me!
81;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Inner Voice;I might've made a mistake choosing her...
82;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;I might've made a mistake choosing her... We're here! This is the place!
83;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Th-The dark lands?
84;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Good morning!
85;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;My first club... It's so dark... So stuffy... I-It's so soothing!
86;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;You okay, Hitori-chan?
87;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I'm home!
88;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;It is not! That's the band that's playing today. They might be a little older than us? After they're done, we'll rehearse too.
89;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I thought bands would be intimidating, but they're all indoorsy, shy introverts! They're just like me!
90;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;That there's the PA.
91;1;1;Lonely Rolling Bocchi;PA-san;Talk;Good morning.
92;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Please forgive my arrogance!
93;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;What's wrong now?!
94;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;You're finally back.
95;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Ryo! This is Hitori Goto. Hitori-chan! I met her in the park by miraculous happenstance! She's a guitarist!
96;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;Oh?
97;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Scary! Is she glaring at me?
98;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;This is Ryo Yamada. She plays bass.
99;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I-I'm Hitori Goto! I'm so very sorry!
100;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Hang on! Y-You're okay! Ryo's just not the expressive type. Feel free to call her weird! She likes it!
101;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;I don't, actually.
102;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Seemed like she did...
103;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;By the way, about the manager... She told you to practice until it was time, but instead you snuck out of the club, so she got so mad she went out shopping.
104;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;N-No way! Let's be in the studio before she comes back! You too, Hitori-chan! C'mon!
105;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;R-Right!
106;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;R-Right! Real life is scary. But I feel like there's some fun stuff coming up!
107;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Here's today's set list and score.
108;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Wh-Where are the other band members?
109;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;This is everyone! We'll be doing all instrumentals this time.
110;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Right. I can handle this song. Though without any vocals, the playing's gotta be all that much better... But I'm supposedly good at guitar. I can do this. I think I can do this!
111;1;1;Lonely Rolling Bocchi;Ryo Yamada;Inner Voice;Gorilla?
112;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Maybe they'll be blown away by my playing! I mean, I get pretty good... pretty decent reactions online. I even have 30,000 subscribers!
113;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Let's take it right from the top. It's your first time, so we'll run through slow, then we can speed it up as you get used to it. Okay, let's go!
114;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Yeah, let's do this!
115;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;You suck!
116;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;H-How can I suck? I'm guitarhero! I've got 30,000 subscribers!
117;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Ah, I'm kidding! Well, not totally kidding, but... Ah, I'm sorry!
118;1;1;Lonely Rolling Bocchi;Guitar Man;Talk;Allow me to explain! In a band, it's super important to be in sync with your fellow live performers! But Hitori has social anxiety and can't make eye contact, and she'll be inclined to rush ahead of the others! She might be an awesome solo player, but when in a band, she's sub-water-flea level, the worst there is!
119;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Hello. I'm Plankton Goto.
120;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;She sounds like an unfunny comedian!
121;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;And thus, Hitori Goto turned to dust, and never picked up a guitar again.
122;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Wait, wait, wait, wait, wait! Come out, please! The show's about to start!
123;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I c-c-can't do it!
124;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;It's not your fault! We just came together today! It's not like I'm very good either.
125;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;I'm very good.
126;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Just look at me, okay! Stay here in reality!
127;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;It isn't like I could do the intro or anything... I-I could offer up my life to put on a harakiri show! Th-They'll at least remember the name of the band, right? Sorry I sucked!
128;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;That's a little too rock!
129;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;It's okay. If they boo you, I'll give them a bonk with my bass. Bonk.
130;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Does a bass make such a fancy noise?
131;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;I mean, bloodshed is pretty rock.
132;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;It's rock.
133;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;You can't justify everything with "rock"!
134;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Besides, it'll probably just be my friends who come to watch us play!
135;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;And Nijika is my only friend, so...
136;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Normal high school girls don't know good music from bad.
137;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;That kind of take could get you in trouble on the internet.
138;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Okay? So just chill!
139;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I d-dunno...
140;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;I know good music from bad.
141;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Well, you're not normal. Hey, that wasn't a compliment.
142;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Sorry.
143;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;But...
144;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;We can't force her.
145;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;You're right. Sorry to push you so hard.
146;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;No, actually... I r-really was happy you reached out to me. I've wanted to be in a band for so long... B-But I couldn't get the people together... So I just upload covers to the internet instead.
147;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;What do you usually play?
148;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;M-Mostly songs by popular bands from the last few years, so I could play them right away once the band got together...
149;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;That's awesome!
150;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;It's not. It's the reason I'm the way I am now. Being in a band with other people was a pipe dream after all.
151;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Covering all popular songs? She sounds like guitarhero-san! Have you heard of her? She's probably about our age, I think...
152;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;guitarhero... M-Me?!
153;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;I'll send you a link if you haven't! She's super awesome! You should hear her!
154;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Awe... some?
155;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;She comes up in my recommendations a lot, so I've seen her too. She really is excellent.
156;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Right?! Though her naming sense is a bit cringy...
157;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;It is?!
158;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;I follow her with notifications on! I'd love to play with her some day!
159;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;You just did, actually...
160;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Look, what I'm getting at here is that even awesome, popular people are out there playing guitar, lots and lots of them, in places we're not even watching. You should watch her later! I think you'll get what I mean if you watch the videos.
161;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I always figured real-life people didn't care about me at all...
162;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;You can't give up on playing in a band just because it didn't work out today! It's possible it's our problem, anyway...
163;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;Our problem?
164;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Hitori-chan?
165;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;But someone this nice has been watching me all this time, and actually spoke to me... It's the kind of miracle most people never experience! I can't let it go to waste!
166;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;She stood up.
167;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I... I'm...
168;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;D-Do you want to perform after all? Hitori-chan?
169;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I know all that, rationally... But I'm still too scared... There's no way I can play in front of an audience...
170;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;If you're scared, you could play from in here.
171;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I-It's the same environment that I play in all the time!
172;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Where exactly do you live?
173;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;How you feelin' tonight, Shimo-Kita?!
174;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;She's suddenly more outgoing.
175;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;By the way, how do you want us to introduce you? Hitori-chan? Should we use your real name?
176;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I'd... I'd rather not...
177;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Any nicknames, then?
178;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;In middle school, they called me Hey and "You there"...
179;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;I don't think those are nicknames!
180;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I never knew anyone well enough to get nicknames from them!
181;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;Hitori... Hitoribocchi (all alone)... How about Bocchi-chan?
182;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Another tactless comment!
183;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I'm B-B-Bocchi!
184;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;She likes it?
185;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;It's just my first ever nickname...
186;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;This is making me teary-eyed.
187;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Oh, you haven't told me your band name yet.
188;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;It's Kessoku Band.
189;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Kessoku Band... Isn't that the word for "zip tie"?
190;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;It's brilliant.
191;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;It's the worst pun! We're totally changing it!
192;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;Why? It's cute.
193;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Y-Yes.
194;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Band name aside, it's time to play! Don't worry. The key is to have fun, even if you suck! Your feelings really come out in your playing, see?
195;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;R-Right...
196;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;We can always work on the skill part next time.
197;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;Yeah.
198;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Next... time...
199;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Okay, let's go!
200;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;Right.
201;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;They're okay with there being a next time!
202;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Nice to meet you! We're Kessoku Band! We'll play a bunch of songs you probably know, so please enjoy!
203;1;1;Lonely Rolling Bocchi;Seika Ijichi;Talk;Who's that?
204;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I hate that I can't play as well as I usually do, but... playing in a band with other people is so much fun! I've never really shone before today... And I still don't! This might actually be a low point for me!
205;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Boy, I screwed up!
206;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;Your intro bombed, too.
207;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;E-Excuse me! B-B-B...
208;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;What?
209;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;B-B-B-B-B...
210;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Okay, you're freaking me out!
211;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;B-Before our next performance, I'm gonna get brave enough to say hello to my classmates!
212;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;What a dramatic declaration. Such growth...
213;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;Okay, I get it. Sure! Then let's have a Bocchi-chan-welcome-party- slash-concert-post-mortem!
214;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Actually, I'm pretty exhausted from all this social interaction, so I'm gonna go.
215;1;1;Lonely Rolling Bocchi;Ryo Yamada;Talk;Sorry. I'm sleepy.
216;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;P-Pardon me!
217;1;1;Lonely Rolling Bocchi;Nijika Ijichi;Talk;There's no "ties" in this band at all!
218;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I'm gonna get over my social anxiety and bring out my full guitarhero powers! For Nijika-chan, Ryo-san, and Kessoku Band! S-Sorry! Sorry!
219;1;2;See You Tomorrow;Hitori Gotou;Talk;Twenty more minutes... Twenty more minutes... Twenty more minutes... Twenty more minutes... Twenty more minutes...
220;1;2;See You Tomorrow;Hitori Gotou;Inner Voice;Yesterday, Nijika-chan said...
221;1;2;See You Tomorrow;Nijika Ijichi;Message;Hi there! Thanks for everything today! You seriously saved our butts, Bocchi-chan Let's have a talk about our future as a band! Meetup at Starry tomorrow, okay?
222;1;2;See You Tomorrow;Hitori Gotou;Inner Voice;The joy of getting LOINE messages from someone who wasn't a relative got me this far, but... If I walk in there looking like the hick I am, they'll all look at me like I don't belong there... I made it in last time because I was with Nijika-chan, but... I wonder if anyone's there? I wish I had someone to go in with. Five minutes. I'll wait five minutes, then go in. No, ten... Fifteen. I'll totally go in after fifteen.
223;1;2;See You Tomorrow;Nijika Ijichi;Talk;What's she doing? Bo—
224;1;2;See You Tomorrow;Ryo Yamada;Talk;Wait. I wanna watch a little longer.
225;1;2;See You Tomorrow;Nijika Ijichi;Talk;Could you please stop enjoying this?
226;1;2;See You Tomorrow;Nijika Ijichi;Talk;Okay! I hereby declare the first Kessoku Band members' meeting... open! Round of applause! Clappy clappy clap clap clap! Now, let's see... Oh, wait. We barely know each other, so I dunno what to talk about!
227;1;2;See You Tomorrow;Hitori Gotou;Inner Voice;She just admitted it!
228;1;2;See You Tomorrow;Ryo Yamada;Talk;I brought this for just such an occasion.
229;1;2;See You Tomorrow;Nijika Ijichi;Talk;Nice one!
230;1;2;See You Tomorrow;Hitori Gotou;Inner Voice;I don't think I like the looks of this...
231;1;2;See You Tomorrow;Nijika Ijichi;Talk;There! What'll she roll? What'll she roll?
232;1;2;See You Tomorrow;Ryo Yamada;Talk;Dun-dun-dun-dun-dun...
233;1;2;See You Tomorrow;Nijika Ijichi;Talk;Talk about School TAS for short!
234;1;2;See You Tomorrow;Ryo Yamada;Talk;Proceed.
235;1;2;See You Tomorrow;Hitori Gotou;Talk;Um... Wait, don't you both go to the same school...
236;1;2;See You Tomorrow;Nijika Ijichi;Talk;Yeah, Shima High!
237;1;2;See You Tomorrow;Ryo Yamada;Talk;We chose it 'cause it's close to home.
238;1;2;See You Tomorrow;Hitori Gotou;Talk;Oh, so you live in Shimo-Kitazawa...
239;1;2;See You Tomorrow;Nijika Ijichi;Talk;Huh? Bocchi-chan, don't you go to Shuka High? Shouldn't you live around here too?
240;1;2;See You Tomorrow;Hitori Gotou;Talk;No, I live out-of-prefecture. Two-hour commute each way.
